JFK-AP-107-225  ,70:b3:17:8a:59:aa
JFK-AP-108-ELA212,70:b3:17:8a:57:ba
JFK-AP-092-C105,08:ec:f5:fe:ad:fa
JFK-AP-105-216  ,70:b3:17:50:4f:10
JFK-AP-112-238  ,78:72:5d:ab:e6:3e
JFK-AP-111-125  ,6c:8b:d3:13:be:04
JFK-AP-090-C114 ,08:ec:f5:fe:ad:ec
JFK-AP-117-E160E,f4:db:e6:5d:18:36
JFK-AP-118-C119 ,f4:db:e6:56:1a:44
JFK-AP-115-201  ,f4:db:e6:5d:18:46
JFK-AP-113-M237 ,f4:db:e6:38:31:3a
JFK-AP-116-161B ,f4:db:e6:5d:18:44
JFK-AP-091-158  ,74:88:bb:2d:0f:28
JFK-AP-106-220  ,70:b3:17:8a:55:76
JFK-AP-114-171  ,f4:db:e6:4a:40:cc
JFK-AP-089-140,08:ec:f5:fe:ac:26
